Variable,Date,Price
GDA_TETSTX,2017-10-18,2.845
GDA_TETSTX,2017-10-17,2.8
GDA_TETSTX,2017-10-16,2.955
GDA_TETSTX,2017-10-15,2.955
GDA_TETSTX,2017-10-14,2.955
GDA_TETSTX,2017-10-13,2.935
GDA_TETSTX,2017-10-12,2.87
GDA_TETSTX,2017-10-11,2.865
GDA_TETSTX,2017-10-10,2.855
GDA_TETSTX,2017-10-09,2.875
GDA_TETSTX,2017-10-08,2.875
GDA_TETSTX,2017-10-07,2.875
GDA_TETSTX,2017-10-06,2.895
GDA_TETSTX,2017-10-05,2.9
GDA_TETSTX,2017-10-04,2.805
GDA_TETSTX,2017-10-03,2.75
GDA_TETSTX,2017-10-02,2.815
GDA_TETSTX,2017-10-01,2.815
GDA_TETSTX,2017-09-30,2.885
GDA_TETSTX,2017-09-29,2.885
GDA_TETSTX,2017-09-28,2.905
GDA_TETSTX,2017-09-27,2.88
GDA_TETSTX,2017-09-26,2.9
GDA_TETSTX,2017-09-25,2.9
GDA_TETSTX,2017-09-24,2.9
GDA_TETSTX,2017-09-23,2.9
GDA_TETSTX,2017-09-22,2.97
GDA_TETSTX,2017-09-21,3.025
GDA_TETSTX,2017-09-20,3.05
GDA_TETSTX,2017-09-19,3.005
GDA_TETSTX,2017-09-18,2.905
GDA_TETSTX,2017-09-17,2.905
GDA_TETSTX,2017-09-16,2.905
GDA_TETSTX,2017-09-15,2.94
GDA_TETSTX,2017-09-14,2.955
GDA_TETSTX,2017-09-13,2.89
GDA_TETSTX,2017-09-12,2.84
GDA_TETSTX,2017-09-11,2.74
GDA_TETSTX,2017-09-10,2.74
GDA_TETSTX,2017-09-09,2.74
GDA_TETSTX,2017-09-08,2.88
GDA_TETSTX,2017-09-07,2.92
GDA_TETSTX,2017-09-06,2.95
GDA_TETSTX,2017-09-05,2.985
GDA_TETSTX,2017-09-04,2.985
GDA_TETSTX,2017-09-03,2.985
GDA_TETSTX,2017-09-02,2.985
GDA_TETSTX,2017-09-01,2.955
GDA_TETSTX,2017-08-31,2.85
GDA_TETSTX,2017-08-30,2.87
GDA_TETSTX,2017-08-29,2.895
GDA_TETSTX,2017-08-28,2.89
GDA_TETSTX,2017-08-27,2.89
GDA_TETSTX,2017-08-26,2.89
GDA_TETSTX,2017-08-25,2.865
GDA_TETSTX,2017-08-24,2.845
GDA_TETSTX,2017-08-23,2.955
GDA_TETSTX,2017-08-22,2.9
GDA_TETSTX,2017-08-21,2.89
GDA_TETSTX,2017-08-20,2.89
GDA_TETSTX,2017-08-19,2.89
GDA_TETSTX,2017-08-18,2.865
GDA_TETSTX,2017-08-17,2.875
GDA_TETSTX,2017-08-16,2.91
GDA_TETSTX,2017-08-15,2.965
GDA_TETSTX,2017-08-14,2.91
GDA_TETSTX,2017-08-13,2.91
GDA_TETSTX,2017-08-12,2.91
GDA_TETSTX,2017-08-11,2.85
GDA_TETSTX,2017-08-10,2.815
GDA_TETSTX,2017-08-09,2.735
GDA_TETSTX,2017-08-08,2.725
GDA_TETSTX,2017-08-07,2.74
GDA_TETSTX,2017-08-06,2.74
GDA_TETSTX,2017-08-05,2.74
GDA_TETSTX,2017-08-04,2.8
GDA_TETSTX,2017-08-03,2.79
GDA_TETSTX,2017-08-02,2.71
GDA_TETSTX,2017-08-01,2.77
GDA_TETSTX,2017-07-31,2.93
GDA_TETSTX,2017-07-30,2.93
GDA_TETSTX,2017-07-29,2.93
GDA_TETSTX,2017-07-28,2.92
GDA_TETSTX,2017-07-27,2.855
GDA_TETSTX,2017-07-26,2.865
GDA_TETSTX,2017-07-25,2.895
GDA_TETSTX,2017-07-24,2.965
GDA_TETSTX,2017-07-23,2.965
GDA_TETSTX,2017-07-22,2.965
GDA_TETSTX,2017-07-21,3.035
GDA_TETSTX,2017-07-20,3.04
GDA_TETSTX,2017-07-19,3.025
GDA_TETSTX,2017-07-18,2.975
GDA_TETSTX,2017-07-17,2.935
GDA_TETSTX,2017-07-16,2.935
GDA_TETSTX,2017-07-15,2.935
GDA_TETSTX,2017-07-14,2.865
GDA_TETSTX,2017-07-13,2.915
GDA_TETSTX,2017-07-12,2.91
GDA_TETSTX,2017-07-11,2.91
GDA_TETSTX,2017-07-10,2.865
GDA_TETSTX,2017-07-09,2.865
GDA_TETSTX,2017-07-08,2.865
GDA_TETSTX,2017-07-07,2.835
GDA_TETSTX,2017-07-06,2.825
