SettlementPoint,Year,Month,Mean,Min,Max,SD,Volatility
LZ_HOUSTON,2017,04,32.96706944444444,10.74,147.81,16.991265862206316,0.3939123291647408
LZ_HOUSTON,2017,05,32.36264784946236,4.99,109.86,15.906692890509008,0.4479865703724821
LZ_HOUSTON,2017,06,33.66891666666667,15.43,139.24,19.3924588943231,0.44773259867636633
LZ_HOUSTON,2017,07,34.72583333333333,16.72,311.81,23.443061415065714,0.46001570001153674
LZ_HOUSTON,2017,08,30.03147849462366,16.61,101.75,14.431593938247437,0.3915084190738172
LZ_HOUSTON,2017,09,27.410027777777785,8.33,84.99,12.571637692402948,0.3831208846896022
LZ_HOUSTON,2017,10,31.33938172043011,4.41,274.2,26.117447047199036,0.5176867322083474
LZ_HOUSTON,2017,11,26.339624999999995,4.82,131.01,12.83373162077101,0.3697550084706555
LZ_HOUSTON,2017,12,21.979784946236556,6.29,68.39,5.791050547258557,0.2465112079681773
LZ_HOUSTON,2018,01,38.04498655913979,6.18,1638.04,86.06439847614334,0.5160545662776657
LZ_HOUSTON,2018,02,22.375848214285718,5.1,72.15,7.394902533647273,0.3099306111085533
LZ_HOUSTON,2018,03,23.93345895020188,8.01,71.42,9.109086945117879,0.3502631336218168
LZ_HOUSTON,2018,04,24.728347222222226,8.41,59.21,7.916439430638186,0.3161037090925695
LZ_HOUSTON,2018,05,35.53303763440859,8.42,550.1,39.4810660335809,0.5878614875549256
LZ_HOUSTON,2018,06,31.80234722222223,15.81,119.76,16.79393493297371,0.43207749980336196
LZ_HOUSTON,2018,07,79.56653225806451,9.95,2060.38,233.56038682651962,0.8935769991268042
LZ_HOUSTON,2018,08,32.15962365591398,13.48,151.05,18.890233331961976,0.45974213077330195
LZ_HOUSTON,2018,09,27.722416666666668,15.14,92.18,10.886969613459707,0.3329940751487405
LZ_HOUSTON,2018,10,31.781115591397853,12.74,101.62,11.514126975977037,0.3185193777835025
LZ_HOUSTON,2018,11,31.730333333333334,10.05,105.13,12.015058303485727,0.3354373365736597
LZ_HOUSTON,2018,12,30.46206989247312,6.88,116.52,9.911598247922356,0.3070705233464752
LZ_HOUSTON,2019,01,25.550080645161284,8.85,75.06,7.847312987516136,0.26908342013093506
LZ_HOUSTON,2019,02,21.644255952380952,5.51,57.43,6.729465251803097,0.3205656361448814
LZ_HOUSTON,2019,03,28.080323014804847,8.22,651.84,32.70861948439227,0.41371917297187877
LZ_HOUSTON,2019,04,24.264583333333324,5.44,107.4,12.157658167632507,0.438415421909972
LZ_HOUSTON,2019,05,25.153615591397845,9.58,68.56,9.23424813356634,0.33018596258834204
LZ_HOUSTON,2019,06,27.226736111111112,10.0,113.57,15.762967614787566,0.453648752035503
LZ_HOUSTON,2019,07,30.013064516129027,11.35,274.79,26.872544946248773,0.5550810297528663
LZ_HOUSTON,2019,08,126.69338709677417,10.33,3500.0,401.4687410183907,1.213717978280273
LZ_HOUSTON,2019,09,80.77929166666667,7.97,5011.62,380.5954930085022,0.8776857418237238
LZ_HOUSTON,2019,10,30.642379032258066,9.62,872.98,55.331927736505236,0.5571749453330234
LZ_HOUSTON,2019,11,24.18161111111111,3.8,199.8,14.472697576733287,0.4144990543238711
LZ_HOUSTON,2019,12,18.919852150537636,3.8,59.5,6.877407263243728,0.32465882537531165
LZ_LCRA,2016,01,19.317459677419354,5.47,55.4,5.497980113470418,0.2643449847049837
LZ_LCRA,2016,02,15.488548850574709,2.37,51.55,5.732980295709334,0.43884246802136606
LZ_LCRA,2016,03,16.796298788694482,1.34,66.31,7.3988621841131685,0.468880890487233
LZ_LCRA,2016,04,18.392708333333335,1.15,92.5,9.68222846298248,0.546231694061237
LZ_LCRA,2016,05,18.18278225806452,2.78,73.75,8.005227459392778,0.4388403880054085
LZ_LCRA,2016,06,24.164416666666675,4.64,109.44,11.121200540738206,0.3930663911941854
LZ_LCRA,2016,07,27.592217741935478,9.31,99.41,12.674735854902679,0.39978556652716485
LZ_LCRA,2016,08,31.175577956989255,13.43,237.06,28.98272611616213,0.49695081232818356
LZ_LCRA,2016,09,27.039944444444437,11.0,199.29,15.735525242461984,0.37669284663876906
LZ_LCRA,2016,10,26.068440860215055,3.33,281.6,16.98477508373953,0.4353651669066992
LZ_LCRA,2016,11,19.541680555555555,2.88,48.94,6.456588603352814,0.3824027815309617
LZ_LCRA,2016,12,25.487876344086025,2.58,142.23,11.374799922493047,0.4372252646639668
LZ_LCRA,2017,01,23.43627688172043,1.9,97.26,7.606074128174611,0.38178148859558825
LZ_LCRA,2017,02,20.66081845238095,3.1,53.1,6.897614444293978,0.4058827562716653
LZ_LCRA,2017,03,23.437133243607,5.15,69.81,8.228481795575645,0.34335032602857873
LZ_LCRA,2017,04,24.477416666666663,8.91,88.04,8.468541080492487,0.3195795390863316
LZ_LCRA,2017,05,25.63795698924731,4.45,67.39,8.654821736633204,0.34572046802573325
LZ_LCRA,2017,06,28.63908333333334,14.97,91.27,12.48570018194333,0.35552554951361387
LZ_LCRA,2017,07,31.905712365591395,16.84,265.38,18.70555943379993,0.41016371676279145
LZ_LCRA,2017,08,27.678010752688174,16.63,90.36,11.266243870522514,0.3403695825102464
LZ_LCRA,2017,09,24.813430555555552,8.63,61.55,8.36801241320809,0.2956098788239297
LZ_LCRA,2017,10,24.48426075268817,4.56,115.0,11.120629550803763,0.3606864402868345
LZ_LCRA,2017,11,23.047125000000005,3.11,88.12,8.542414682479475,0.35199827874670103
LZ_LCRA,2017,12,21.11766129032258,4.65,58.16,5.448681533955956,0.26274321220936114
LZ_LCRA,2018,01,38.99256720430108,5.87,1669.26,88.49319955468226,0.5611783302961277
LZ_LCRA,2018,02,21.762247023809522,4.3,75.49,7.760105867864692,0.3368180900453835
LZ_LCRA,2018,03,22.05130551816958,4.24,70.23,8.310383904389662,0.38561857380434583
LZ_LCRA,2018,04,22.644027777777783,5.1,51.83,7.626581791236533,0.3505681357431397
LZ_LCRA,2018,05,34.73540322580645,7.35,537.05,39.21426529375477,0.5838276399160426
LZ_LCRA,2018,06,30.365555555555556,16.02,114.7,14.438945238745088,0.3891909452066881
LZ_LCRA,2018,07,79.06994623655913,10.06,2062.63,233.30198042101696,0.8875172649219073
LZ_LCRA,2018,08,31.807970430107527,14.28,149.58,18.499565264811263,0.44993097018881933
LZ_LCRA,2018,09,27.187263888888882,15.12,89.58,10.32397246146386,0.3207592298421252
LZ_LCRA,2018,10,30.069879032258065,10.92,95.98,10.146733125557335,0.2994403324940032
LZ_LCRA,2018,11,30.515805555555556,8.38,106.34,11.79691385662878,0.350300424131708
LZ_LCRA,2018,12,30.582661290322587,6.56,122.66,10.628820081578901,0.32916216531918163
LZ_LCRA,2019,01,24.936303763440858,6.28,76.43,8.097452745325858,0.29168578482346597
LZ_LCRA,2019,02,21.666979166666664,5.53,56.92,6.878219361958411,0.32175738731222014
LZ_LCRA,2019,03,27.649313593539706,6.58,692.67,35.19954864384439,0.4561977243189218
LZ_LCRA,2019,04,23.314763888888884,4.46,107.21,12.36835730932367,0.46487709117798104
LZ_LCRA,2019,05,24.508682795698927,9.06,66.1,8.51416657391498,0.3110821337727141
LZ_LCRA,2019,06,24.51954166666666,11.18,101.6,13.153803352145431,0.40869137607727163
LZ_LCRA,2019,07,29.74791666666666,11.36,274.7,26.81774614012361,0.5522582521153586
LZ_LCRA,2019,08,126.67076612903222,10.31,3503.28,401.7273081817834,1.2127501336402415
LZ_LCRA,2019,09,82.4672361111111,8.0,5011.71,380.759042512188,0.9032067438797571
LZ_LCRA,2019,10,29.01580645161291,7.78,851.35,53.564423486240976,0.5680797571585943
LZ_LCRA,2019,11,24.485222222222234,4.14,207.11,14.724647827239302,0.4164479668343183
LZ_LCRA,2019,12,19.45688172043011,3.75,84.34,7.25599086638184,0.32195632950162023
LZ_NORTH,2016,01,19.187997311827957,5.08,56.21,5.532815832010709,0.2702469841915586
LZ_NORTH,2016,02,15.462212643678157,2.28,51.39,5.727119505560942,0.4447905592092171
LZ_NORTH,2016,03,17.461507402422612,1.48,62.31,7.4469997134928,0.46373133745031186
LZ_NORTH,2016,04,19.087638888888893,1.57,90.61,9.793125443963818,0.5171327453555535
LZ_NORTH,2016,05,18.18288978494624,4.18,76.8,7.86262678641513,0.4081966987528082
